credit_code,outcredit_code,report_year
500103200032167,92231002ma1ammnh3q,1
500103200032167,92520322ma6f659f8j,1
500103200032167,92632126ma75839p8b,1
500103200032167,92652301ma79ry7n0j,1
500103200134859,91500103077268072a,1
500105000031449,91310109301407154f,1
500105000031449,913101097842716920,1
500105000031449,91361128092910609g,1
500105000031449,913701125899367915,1
500105000031449,91420600316513531u,1
500105000031449,91430103090858202l,1
500105000031449,914302230908867057,1
500105000031449,91430400ma4l15yn7h,1
500105000031449,91430581584940433a,1
500105000031449,91500105793524452j,1
500105000031449,9161052308806960xh,1
500105000031449,91620100778854138j,1
500105000044960,52500107693941478x,2
500105000131404,91500105578991381u,3
500105000132010,91500000586883065h,3
500105000193074,9150011232039327xc,1
500105000196499,91500107320386264l,1
500105000196499,91500107795894502a,3
500105100007114,915001072028305047,1
500105200167944,91500226053227970k,1
500108000035162,91500114747452902f,3
500108000131179,91500108320444508f,2
500108000390973,915001080912324397,1
500108212173374,91110108335582583m,1
500112000017833,91500112663550097c,1
500112000017833,9150011276265561x6,1
500112000017833,91500115778468253x,1
500112000017833,915002252038474049,1
500112000109168,91500105066178100c,1
500112006206967,913304023369154906,1
500112200023651,92231002ma1ammnh3q,1
500112200023651,92520322ma6f659f8j,1
500112200023651,92632126ma75839p8b,1
500112200023651,92652301ma79ry7n0j,1
500112200026470,92231002ma1ammnh3q,1
500112200026470,92520322ma6f659f8j,1
500112200026470,92632126ma75839p8b,1
500112200026470,92652301ma79ry7n0j,1
500113000009766,9141080059343206xr,1
500113000009766,91500000795877104m,1
500113000047312,91310230585233589f,1
500223000004648,915002237784712173,1
500226200003478,9150022669394568xw,1
500226200009178,91500226577958125n,1
500226200174422,92231002ma1ammnh3q,1
500226200174422,92520322ma6f659f8j,1
500226200174422,92632126ma75839p8b,1
500226200174422,92652301ma79ry7n0j,1
500227100001759,92231002ma1ammnh3q,1
500227100001759,92520322ma6f659f8j,1
500227100001759,92632126ma75839p8b,1
500227100001759,92652301ma79ry7n0j,1
500227200005550,9150022758284515xm,2
500227200009602,92231002ma1ammnh3q,1
500227200009602,92520322ma6f659f8j,1
500227200009602,92632126ma75839p8b,1
500227200009602,92652301ma79ry7n0j,1
500227200218016,92231002ma1ammnh3q,1
500227200218016,92520322ma6f659f8j,1
500227200218016,92632126ma75839p8b,1
500227200218016,92652301ma79ry7n0j,1
500228200020727,91500228599203268a,1
500228200026161,91350503689397799t,1
500228200160898,915002280801593011,1
500229212222496,92231002ma1ammnh3q,1
500229212222496,92520322ma6f659f8j,1
500229212222496,92632126ma75839p8b,1
500229212222496,92652301ma79ry7n0j,1
500231200015154,92231002ma1ammnh3q,1
500231200015154,92520322ma6f659f8j,1
500231200015154,92632126ma75839p8b,1
500231200015154,92652301ma79ry7n0j,1
500231200015195,92231002ma1ammnh3q,1
500231200015195,92520322ma6f659f8j,1
500231200015195,92632126ma75839p8b,1
500231200015195,92652301ma79ry7n0j,1
500231200031023,92231002ma1ammnh3q,1
500231200031023,92520322ma6f659f8j,1
500231200031023,92632126ma75839p8b,1
500231200031023,92652301ma79ry7n0j,1
500231212466782,92231002ma1ammnh3q,1
500231212466782,92520322ma6f659f8j,1
500231212466782,92632126ma75839p8b,1
500231212466782,92652301ma79ry7n0j,1
500232200014855,92231002ma1ammnh3q,1
500232200014855,92520322ma6f659f8j,1
500232200014855,92632126ma75839p8b,1
500232200014855,92652301ma79ry7n0j,1
500232212364735,92231002ma1ammnh3q,1
500232212364735,92520322ma6f659f8j,1
500232212364735,92632126ma75839p8b,1
500232212364735,92652301ma79ry7n0j,1
500234200009241,92231002ma1ammnh3q,1
500234200009241,92520322ma6f659f8j,1
500234200009241,92632126ma75839p8b,1
500234200009241,92652301ma79ry7n0j,1
500234200014013,92231002ma1ammnh3q,1
500234200014013,92520322ma6f659f8j,1
500234200014013,92632126ma75839p8b,1
500234200014013,92652301ma79ry7n0j,1
500234200040135,92231002ma1ammnh3q,1
500234200040135,92520322ma6f659f8j,1
500234200040135,92632126ma75839p8b,1
500234200040135,92652301ma79ry7n0j,1
500234212550574,91440300ma5ed10k6n,1
500236000001838,91500236688905579m,1
500236200013053,91500236585700888d,1
500236212457769,91500236ma5ueqxhx6,1
500237100001346,91500105756232071n,1
500242200023051,92231002ma1ammnh3q,1
500242200023051,92520322ma6f659f8j,1
500242200023051,92632126ma75839p8b,1
500242200023051,92652301ma79ry7n0j,1
500242200337053,92231002ma1ammnh3q,1
500242200337053,92520322ma6f659f8j,1
500242200337053,92632126ma75839p8b,1
500242200337053,92652301ma79ry7n0j,1
500382100003919,91500117203601201d,1
500382200004470,91500117ma5uf5uxx0,1
500382203647639,92231002ma1ammnh3q,1
500382203647639,92520322ma6f659f8j,1
500382203647639,92632126ma75839p8b,1
500382203647639,92652301ma79ry7n0j,1
500382212272815,91500117ma5uelfl4r,1
500383000006937,915000007562347987,1
500383200029563,92231002ma1ammnh3q,1
500383200029563,92520322ma6f659f8j,1
500383200029563,92632126ma75839p8b,1
500383200029563,92652301ma79ry7n0j,1
500383200030429,92231002ma1ammnh3q,1
500383200030429,92520322ma6f659f8j,1
500383200030429,92632126ma75839p8b,1
500383200030429,92652301ma79ry7n0j,1
500383200034632,92231002ma1ammnh3q,1
500383200034632,92520322ma6f659f8j,1
500383200034632,92632126ma75839p8b,1
500383200034632,92652301ma79ry7n0j,1
500383200046191,92231002ma1ammnh3q,1
500383200046191,92520322ma6f659f8j,1
500383200046191,92632126ma75839p8b,1
500383200046191,92652301ma79ry7n0j,1
500383200048898,91500118599241096p,1
500383200165249,92231002ma1ammnh3q,1
500383200165249,92520322ma6f659f8j,1
500383200165249,92632126ma75839p8b,1
500383200165249,92652301ma79ry7n0j,1
500383212058584,92231002ma1ammnh3q,1
500383212058584,92520322ma6f659f8j,1
500383212058584,92632126ma75839p8b,1
500383212058584,92652301ma79ry7n0j,1
500383212267435,92231002ma1ammnh3q,1
500383212267435,92520322ma6f659f8j,1
500383212267435,92632126ma75839p8b,1
500383212267435,92652301ma79ry7n0j,1
500383212466438,91500118ma5uekrd2c,1
500384000011724,92231002ma1ammnh3q,2
500384000011724,92520322ma6f659f8j,2
500384000011724,92632126ma75839p8b,2
500384000011724,92652301ma79ry7n0j,2
500901000045499,52500000709323763h,1
500901000045499,52500000709355984p,1
500901000045499,525000007784684994,1
500901000116078,91500114747452902f,2
500901000178003,915001130912068048,1
500901001452598,91500107304991632r,1
500902000018515,9150010359368577xx,1
500902000018515,91520324080696414t,1
500903000007060,91500105ma5u59t77j,3
500903000045116,91500108593673699e,3
500903000058709,91500000072337454r,1
500905000587388,915000003048441309,3
500905002629952,915000003316854110,1
500905004051992,91500000320320388l,1
500905004051992,915000003203205139,1
500905212254305,91120116ma05k3228w,1
500905212254305,915000002028293351,2
500905212525709,91110108787753937w,1
500905212525709,91440300326280890k,1
500905212525709,91500000346026304w,1
500905212624252,915000002028293351,1
91100000000013477b,91110108ma01r2tk90,1
91100000000013477b,91540400ma6tfft28l,1
911000000000192465,1210000071782287xd,5
911000000000192465,12100000h526313180,3
911000000000192465,12110000400744252m,1
911000000000192465,121100004008584528,4
911000000000192465,12120000671499930p,1
911000000000192465,12120000712941298g,1
911000000000192465,121409814079903769,1
911000000000192465,12310000425009895q,1
911000000000192465,124600007477634362,1
911000000000192465,51110000500303788h,1
911000000000192465,51510000563289979f,4
911000000000192465,91110000100004009j,7
911000000000192465,911100001000119110,7
911000000000192465,91110000100016018n,7
911000000000192465,91110000100026881d,7
911000000000192465,91110000101619988c,1
911000000000192465,911100003397886852,6
911000000000192465,91110000400010515g,7
911000000000192465,911100006259120508,2
911000000000192465,91110000633696853p,1
911000000000192465,91110000664601415m,3
911000000000192465,9111000071093246xk,7
911000000000192465,9111000071093465xc,7
911000000000192465,91110000717825368k,7
911000000000192465,91110000717862513k,1
911000000000192465,9111000078775725xf,1
911000000000192465,91110000h526311235,3
911000000000192465,91110000ma05hwne2x,5
911000000000192465,9111010110110647x9,6
911000000000192465,91110102101101513j,5
911000000000192465,91110102101537026d,6
911000000000192465,91110102101602721w,5
911000000000192465,9111010274334252x8,6
911000000000192465,91110105633701288e,5
911000000000192465,911101061011042711,4
911000000000192465,91110106101104423d,5
911000000000192465,91110108ma0042k95c,5
911000000000192465,91110113ma0180nd4q,1
911000000000192465,91110116102585978k,6
911000000000192465,91120000k0030232xd,1
911000000000192465,91120102103248527l,5
911000000000192465,91130100mabtbd4n2w,1
911000000000192465,9113010278080587x0,5
911000000000192465,91140000713672982l,1
911000000000192465,91140100729681357u,5
911000000000192465,91140100754083295a,5
911000000000192465,91150100114124597l,5
911000000000192465,911501007014649834,1
911000000000192465,91150102752573338w,6
911000000000192465,91210000603605228m,1
911000000000192465,91210100313232101l,5
911000000000192465,91210102240586661p,5
911000000000192465,91210103701936370d,4
911000000000192465,91210200118474068t,1
911000000000192465,91210202241244348g,5
911000000000192465,912102026036041961,4
911000000000192465,91210281702114803k,5
911000000000192465,91210302119176011y,6
911000000000192465,912104007015504437,5
911000000000192465,91210600120107988w,4
911000000000192465,9121100070170932x7,5
911000000000192465,91211400123712809r,1
911000000000192465,9122000071712094x9,1
911000000000192465,912301007028392069,1
911000000000192465,91230103744447016x,4
911000000000192465,91230110128176320a,1
911000000000192465,912310007026297868,5
911000000000192465,91310000736239890t,1
911000000000192465,91310106132312030n,6
911000000000192465,91310106132621861j,5
911000000000192465,91310106134669316m,6
911000000000192465,9131010663113438x2,4
911000000000192465,91310106631192993l,6
911000000000192465,91310107425003864c,7
911000000000192465,91310109133136999l,5
911000000000192465,9131010963126706xr,6
911000000000192465,913101098322115216,1
911000000000192465,91320000134750317t,5
911000000000192465,91320000134754692h,5
911000000000192465,91320000704045848m,5
911000000000192465,913200007140911515,1
911000000000192465,913204001371577899,5
911000000000192465,913207037037939593,1
911000000000192465,91321100141374700x,4
911000000000192465,91330000142911360h,6
911000000000192465,91330000ma8fyy8d0b,1
911000000000192465,913301027441283659,6
911000000000192465,91330200772339709c,1
911000000000192465,91340000148974637j,4
911000000000192465,91340000610300385y,1
911000000000192465,91350000158141399j,6
911000000000192465,91350000158148814r,6
911000000000192465,91350000705102007h,1
911000000000192465,91360000705513324q,1
911000000000192465,913600007363642613,5
911000000000192465,91370000163042109x,1
911000000000192465,91370000163043945a,6
911000000000192465,91370000267142569h,1
911000000000192465,9141000071263858xf,1
911000000000192465,914200004200055612,3
911000000000192465,91420000707089942x,1
911000000000192465,91420000728299906d,5
911000000000192465,91420000753421715c,4
911000000000192465,91420000770780330q,4
911000000000192465,9142010217772619xk,2
911000000000192465,914201033000556874,5
911000000000192465,9142010375342094xe,6
911000000000192465,9143000018377207x1,3
911000000000192465,9143000071219048xr,1
911000000000192465,91430000717052318p,6
911000000000192465,9143000075063503xc,5
911000000000192465,914301001838695416,3
911000000000192465,914301025889734947,6
911000000000192465,914400007076582873,6
911000000000192465,91440000707688646r,1
911000000000192465,9144030019217360x3,2
911000000000192465,91440300723033631r,5
911000000000192465,91440300ma5dq70n7t,1
911000000000192465,91440400ma510bmj2p,1
911000000000192465,91440400ma510bn97k,1
911000000000192465,91440400ma510bpm6j,1
911000000000192465,91440400ma510btw3h,1
911000000000192465,91440400ma510dnn7f,1
911000000000192465,91440400ma510g8f45,1
911000000000192465,91440400ma510g9q0p,1
911000000000192465,91440400ma510gbd7d,1
911000000000192465,91440400ma510gdy1p,1
911000000000192465,91440400ma510gf14e,1
911000000000192465,91440400ma510gga4d,1
911000000000192465,91440400ma510hte2b,1
911000000000192465,914451027078273947,5
911000000000192465,91450000711428484r,1
911000000000192465,91450200742097403r,4
911000000000192465,9146000067607830xr,4
911000000000192465,91460000681162274g,4
911000000000192465,914600007212908297,1
911000000000192465,9146010070888434xu,6
911000000000192465,91460100708890301u,6
911000000000192465,9146020020134183xn,3
911000000000192465,91500000054829762h,6
911000000000192465,915000006219701737,1
911000000000192465,91500000753055743h,6
911000000000192465,915001032028475097,4
911000000000192465,91510000711879429h,6
911000000000192465,91510000762341370p,6
911000000000192465,91520000709674475l,1
911000000000192465,915201002144583591,1
911000000000192465,915201007952684800,3
911000000000192465,915300007134088660,1
911000000000192465,91530000750687083w,6
911000000000192465,915301006226730232,1
911000000000192465,915400007109066325,1
911000000000192465,9161000071007432xh,3
911000000000192465,91610000713548244m,1
911000000000192465,91610131735084671x,7
911000000000192465,916200007103754566,1
911000000000192465,91620102710338858u,5
911000000000192465,91620103224464189p,5
911000000000192465,91630000mabjambgxu,1
911000000000192465,916301007105270428,6
911000000000192465,91640000227680063f,1
911000000000192465,91640000710658122u,1
911000000000192465,91650100781772790k,6
911000000000192465,91650103228769289e,3
911000000000192465,91650121228737623q,2
911000001000006813,125100006991732623,2
911000001000006813,91100000710932021x,2
911000001000006813,91110000055610797m,4
911000001000006813,91110000335480499r,1
911000001000006813,91110000633645511e,3
911000001000006813,91110000710935257q,4
911000001000006813,91110102ma01n48b5m,2
911000001000006813,911101083483648255,2
911000001000006813,91110108683555119q,2
911000001000006813,91110108ma019fdm0e,3
911000001000006813,91110108ma01d0mc7t,2
911000001000006813,91110108ma01d4jp5u,2
911000001000006813,91110108ma01n3ec9l,2
911000001000006813,91110108ma01pbga8c,2
911000001000006813,91120105103507090n,1
911000001000006813,91420100ma4k4w0u7k,1
911000001000006813,914400007929205920,4
911000001000006813,91460000348086474n,1
911000001000006813,91460100ma5t5k9yxd,2
911000001000013428,91133100ma0f66d53w,1
911000001000013428,91500103ma6109qf1c,1
91100000100003962t,91110000717856308u,2
91100000100003962t,91110102ma01dpu751,1
91100000100003962t,91110102ma01ke4f3x,2
91100000100003962t,91120116710935177l,3
91100000100003962t,91133100ma0dcdj6xn,2
91100000100003962t,912107002426682145,2
91100000100003962t,91310000607406373j,3
91100000100003962t,91310000736239890t,3
91100000100003962t,91320100ma1r80hu09,3
91100000100003962t,91330400698267144d,3
91100000100003962t,91350000612017727q,3
91100000100003962t,91440000190336428q,2
91100000100003962t,91500227699259146b,3
91100000100010556h,91110105355255213w,1
91100000100010556h,91110105ma00cwuhxt,3
91100000100010556h,91110115722614952x,1
91100000100012850e,91110101ma00ac2l95,1
91100000100012850e,91110107575206106p,3
91100000100012850e,91120116091561240q,3
91100000100012850e,91120116596145744c,1
91100000100012850e,91310000586750684r,1
91100000100012850e,91310000ma1fl21f1d,3
91100000100012850e,913101150861548002,3
91100000100012850e,9131011508618855x4,3
91100000100012850e,91310120ma1hretp93,1
91100000100012850e,91420527ma48t40a2u,1
91100000100012850e,91421087706983256n,1
91100000100012850e,91440300ma5d8kp64e,3
91100000100012850e,91440300ma5dr3yw1k,1
91100000100012850e,91440300ma5eehnk1f,1
91100000100012850e,91450100ma5ny22r12,1
91100000100012850e,91469027ma5td1wq2r,1
91100000100012850e,91500103ma5une6u0t,3
91100000100012850e,91510524699163187l,2
91100000100012850e,91610000710097732t,1
91100000100012850e,91610131ma6u7awa6a,1
91100000100012850e,91610629305757039b,2
91100000100012850e,916110235706651433,2
91100000100016448c,91110000717885096x,1
91100000100016448c,91110102ma01dpu751,1
91100000100016448c,91110108797554210h,1
91100000100016448c,91120116673749876c,1
91100000100016448c,912200006687589115,1
91100000100016448c,9133000005672143x0,1
91100000100016448c,91330000717837510w,1
91100000100016448c,91500000683925570t,1
91100000100016448c,915101006863069944,1
91100000100017045k,911100007178351794,1
91100000100017045k,91110000717836155w,1
91100000100017045k,91110000717846134f,1
91100000100017045k,91110000ma01yj7h9k,1
91100000100017045k,91110102ma01dpu751,1
91100000100017045k,911101060612857325,1
9110000010002371xd,91100000717854273b,3
9110000010002371xd,91110000100011743x,3
9110000010002371xd,91110000101718150e,2
9110000010002371xd,91110000400006604m,2
9110000010002371xd,91110000710932339w,3
9110000010002371xd,91110000710932347p,3
9110000010002371xd,91110000ma01yj7h9k,1
9110000010002371xd,91110102101711063j,3
9110000010002371xd,911101027541933204,3
9110000010002371xd,91310000755045290c,2
9110000010002371xd,91310000ma1fl2d994,3
9110000010002371xd,91350000768574458e,2
9110000010002371xd,91440300619290064r,2
91100000100023728d,911201163007592899,1
911000001000237368,91100000710931483r,2
911000001000237368,91110000101219626l,2
911000001000237368,91110000400006604m,1
911000001000237368,91110000710933307t,2
911000001000237368,911100007109337022,2
911000001000237368,91110000710934959f,2
911000001000237368,91110102ma00c3ma2x,2
911000001000237368,911201166723557950,2
911000001000237368,91120118ma05kxr10e,2
911000001000237368,91130600ma095k4m2j,2
911000001000237368,913100007109314916,2
911000001000237368,91310000ma1fl0ud4r,2
911000001000237368,91350000158142711f,2
911000001000237368,91440300342642396y,2
91100000101128791u,91100000100003962t,2
91100000101128791u,91110000100016317l,4
91100000101128791u,9111000010001635xw,1
91100000101128791u,91110000100024210j,2
91100000101128791u,9111000033549089x6,1
91100000101128791u,911100005890944915,4
91100000101128791u,91110000600007839h,4
91100000101128791u,91110000625906208c,3
91100000101128791u,911100006259065823,4
91100000101128791u,91110000694996438q,3
91100000101128791u,91110000710925171t,1
91100000101128791u,91110000710925403t,3
91100000101128791u,91110000710926430u,1
91100000101128791u,91110000710933307t,1
91100000101128791u,91110000717853350j,3
91100000101128791u,91110000766753372c,4
91100000101128791u,91110000783204578f,4
91100000101128791u,91110113101255889h,3
91100000101128791u,91110113101777097r,3
91100000101128791u,911101131904711600,4
91100000101128791u,911101133063722376,2
91100000101128791u,91110113600007070c,4
91100000101128791u,91110113700227898l,4
91100000101128791u,911101137109207175,2
91100000101128791u,91110113722605394q,4
91100000101128791u,91110113722605407e,4
91100000101128791u,911101137493509857,4
91100000101128791u,911101137577028569,3
91100000101128791u,911101137582208400,4
91100000101128791u,91110113758220875j,4
91100000101128791u,911101137635491062,3
91100000101128791u,91110113794060290c,4
91100000101128791u,9111011380116091xe,1
91100000101128791u,91110115ma004ffy37,1
91100000101128791u,91110115ma005l8j8e,1
91100000101128791u,91110115ma00gwc67l,2
91100000101128791u,91110115ma01hfjy06,2
91100000101128791u,91110115ma01hfkh87,2
91100000101128791u,91110115ma01l77d2r,2
91100000101128791u,91110115ma01p1hn3t,2
91100000101128791u,91120000727510626w,3
91100000101128791u,91152500329031160r,2
91100000101128791u,9131000010000595xd,2
91100000101128791u,91310000607269954l,3
91100000101128791u,91310000ma1fl3dy6p,3
91100000101128791u,9131010173746116x6,1
91100000101128791u,9136000049101262xt,3
91100000101128791u,91420000744605299b,1
91100000101128791u,91460000742550597a,4
91100000101619881w,12100000400853395p,1
91100000101619881w,121000004158015208,4
91100000101619881w,12100000415804246h,4
91100000101619881w,12100000710923838n,4
91100000101619881w,12100000717801868l,4
91100000101619881w,911100001000025722,5
91100000101619881w,91110000100004404r,4
91100000101619881w,91110000100011006b,5
91100000101619881w,911100001016196386,5
91100000101619881w,91110000101619961l,5
91100000101619881w,911100001016217037,5
91100000101619881w,9111000010176929x0,5
91100000101619881w,9111000071093115xa,5
91100000101619881w,911100007178009291,4
91100000101619881w,9111011210114015xp,5
91100000101619881w,91110117102957460d,3
91100000101619881w,91120000103065720w,5
91100000101619881w,91130000601700395w,5
91100000101619881w,911301001043902348,5
91100000101619881w,91130322105437647c,5
91100000101619881w,91140000110016679g,5
91100000101619881w,911501001141215995,5
91100000101619881w,91210000117567721q,5
91100000101619881w,91210203118466391b,4
91100000101619881w,91220000605100047q,5
91100000101619881w,9123010012696231x7,5
91100000101619881w,913100001322004345,5
91100000101619881w,913200001347645408,5
91100000101619881w,913206006083098236,5
91100000101619881w,9133000014291238xl,5
91100000101619881w,91330000142916794u,5
91100000101619881w,913400001489414644,5
91100000101619881w,913400001489442514,5
91100000101619881w,91340000149048539p,5
91100000101619881w,91350000611802037l,5
91100000101619881w,91350200754989230x,5
91100000101619881w,91360000158260195r,5
91100000101619881w,91360000767016649w,5
91100000101619881w,91370000163047946a,5
91100000101619881w,91370000759162101e,5
91100000101619881w,91410000169952525c,5
91100000101619881w,9141000075714492x5,5
91100000101619881w,9141010041580019xk,5
91100000101619881w,9142000061540137xf,5
91100000101619881w,91420000757009410l,5
91100000101619881w,91430000183764627g,5
91100000101619881w,91430000740640740w,5
91100000101619881w,91440000190329746k,5
91100000101619881w,91440000617400995n,5
91100000101619881w,91440300192179593h,4
91100000101619881w,91440400618260381b,5
91100000101619881w,91440700783859777n,2
91100000101619881w,914500001982222491,5
91100000101619881w,914500001982226448,5
91100000101619881w,91460000201242022y,5
91100000101619881w,915000002028040903,5
91100000101619881w,91500000202818847m,4
91100000101619881w,91510000201848526l,5
91100000101619881w,91510000752323857l,2
91100000101619881w,91510000793957784t,4
91100000101619881w,91520000214412588w,5
91100000101619881w,91520000214413986l,5
91100000101619881w,9153000062260006xm,5
91100000101619881w,915300006226032522,5
91100000101619881w,91530000753589884u,5
91100000101619881w,91540000219673218n,5
91100000101619881w,91610000220562750h,5
91100000101619881w,916100002941922973,5
91100000101619881w,91620000438002844m,5
91100000101619881w,91630000226580888h,5
91100000101619881w,91640000227683336c,5
91100000101619881w,91650100228581569j,4
9110000010168558xu,91100000710930042l,4
9110000010168558xu,91100000717837609k,4
9110000010168558xu,911100001000162889,4
9110000010168558xu,911100006641772553,4
9110000010168558xu,91110000690801672g,4
9110000010168558xu,911100007109293322,4
9110000010168558xu,9111010568836483xf,4
9110000010168558xu,9111010574155035xd,4
9110000010168558xu,91110105ma007tjg6a,4
9110000010168558xu,911101177650289453,3
9110000010168558xu,91130300780823787m,4
9110000010168558xu,9144030033536819xe,4
9110000010168558xu,9144030071092606x2,2
9110000010168558xu,91440300ma5k8b3l9g,4
91100000101729466x,91330201ma2ajpr2xh,1
91100000102063897j,91100000717824998d,4
91100000102063897j,91110000100003321m,2
91100000102063897j,91110000100011743x,4
91100000102063897j,91110000100028158n,1
91100000102063897j,91110000593839361k,4
91100000102063897j,911100006337942853,2
91100000102063897j,91110000669900043b,4
91100000102063897j,91110105100008755d,2
91100000102063897j,91110107ma00apkw94,3
91100000102063897j,91120000710929682c,4
91100000102063897j,91310000100019382f,4
91100000102063897j,91310000332588197r,4
91100000102063897j,91330300ma2857kw33,4
91100000102063897j,916200002243334029,4
91100000102063897j,91650000132278661y,4
91100000400000712n,91110000569466032q,1
91100000400000712n,911100007178460979,2
91100000400000712n,91110000795997288b,2
91100000400000712n,91110105102005697q,2
91100000400000712n,91110106769354991q,2
91100000400000712n,91110106ma01wpu1x3,1
91100000400000712n,91110108101951956q,1
91100000400000712n,911101081019519996,2
91100000400000712n,91110108101952641e,2
91100000400000712n,91110108101953564b,2
91100000400000712n,91110108101972490l,1
91100000400000712n,911101081019836169,2
91100000400000712n,911101081020015658,2
91100000400000712n,91110108102009903c,2
91100000400000712n,911101081020143823,2
91100000400000712n,91110108102019669u,2
91100000400000712n,91110108102044944e,1
91100000400000712n,9111010834838923x2,2
91100000400000712n,911101085513813566,2
91100000400000712n,911101085694699970,2
91100000400000712n,911101085790645125,2
91100000400000712n,91110108683555119q,2
91100000400000712n,91110108687635538a,2
91100000400000712n,91110108693224591t,2
91100000400000712n,911101087001959107,2
91100000400000712n,911101087002113439,2
91100000400000712n,91110108717717172k,2
91100000400000712n,91110108723573443a,2
91100000400000712n,91110108745475844g,2
91100000400000712n,911101087642396286,2
91100000400000712n,911101087655102997,2
91100000400000712n,91110108766753700e,2
91100000400000712n,91110108768487370p,2
91100000400000712n,91110108ma001u0a62,1
91100000400000712n,91110108ma017f7w3d,1
91100000400000712n,91110108ma01r2tk90,1
91100000400000712n,91110108ma01xgnh75,1
91100000400000712n,91110114801732594p,2
91100000400000712n,91110115102867537x,2
91100000400000712n,911101157916037555,2
91100000400000712n,9111011672148747x6,2
91100000400000712n,91140100794212557d,1
91100000400000712n,91440300192179358h,2
91100000400000712n,914403001922044455,2
91100000400000712n,91440600193555589n,1
91100000400000712n,91510100ma6a2tf29y,1
911000004000032436,91110000710927425h,2
911000004000032436,911100007109335933,2
911000004000032436,91110101ma00cwmj5m,2
91100000710926991d,9111000068510141xd,1
91100000710926991d,91110102560356099l,1
91100000710926991d,91220000559767819h,1
91100000710926991d,912200005597678357,1
91100000710926991d,91220101ma14b10n3w,1
91100000710926991d,91310000ma1fl5ak80,1
91100000710926991d,913211915985551068,1
91100000710927046u,911100001000278763,1
91100000710927046u,91110000101728869t,3
91100000710927046u,911100001053766960,3
91100000710927046u,9111000030630762xx,3
91100000710927046u,911100007985023755,3
91100000710927046u,911101026963897627,3
91100000710927046u,9111010570022665xc,3
91100000710927046u,91110105710925913m,1
91100000710927046u,91110108755253823a,1
91100000710927046u,91110108761401431p,1
91100000710927046u,91371728082993930d,3
91100000710927046u,91532500075285469h,1
91100000710927046u,916204006600434445,3
91100000710927046u,91632801710529777c,1
91100000710927994x,12110000352965615q,3
91100000710927994x,124403000539962004,2
91100000710927994x,911100000514199798,3
91100000710927994x,91110000062779021m,3
91100000710927994x,91110000082839626y,3
91100000710927994x,9111000058442472xt,3
